lambda_vector;mu_a_Oxy;mu_a_Deoxy;mu_a_Fat;mu_a_Water;mu_a_Mel;mu_a_Baseline;mu_a_StratumCorneum;mu_a_Epidermis;mu_a_PapiDermis;mu_a_UpBloodDermis;mu_a_RetiDermis;mu_a_DeepBloodDermis;mu_a_FatDermis
400;0.14376528;1.44E-05;0.00085;4.97E-08;0.142785519;0.000231942;0.000115996;0.003036635;0.004994824;0.024486947;0.004948445;0.012266688;0.006832637
401;0.14862312;1.49E-05;0.000849241;4.90E-08;0.141603235;0.00022883;0.00011444;0.003010562;0.005158562;0.025312172;0.005112805;0.012678988;0.007038454
402;0.15348096;1.53E-05;0.000848483;4.83E-08;0.140433648;0.000225765;0.000112907;0.00298478;0.005322321;0.026137406;0.005277178;0.013091299;0.007244271
403;0.1600938;1.60E-05;0.000847724;4.76E-08;0.139276592;0.000222746;0.000111397;0.002959284;0.005545772;0.027261004;0.005501233;0.013652796;0.007524677
404;0.16670664;1.67E-05;0.000846966;4.69E-08;0.138131901;0.000219773;0.00010991;0.00293407;0.005769245;0.028384612;0.0057253;0.014214302;0.007805083
405;0.17898948;1.79E-05;0.000846207;4.62E-08;0.136999414;0.000216844;0.000108445;0.002909136;0.006185521;0.030472145;0.006142161;0.015257775;0.008326468
406;0.19127232;1.91E-05;0.000845448;4.57E-08;0.135878969;0.000213959;0.000107002;0.002884476;0.006601817;0.032559687;0.006559035;0.016301258;0.008847853
407;0.20966256;2.10E-05;0.00084469;4.52E-08;0.134770411;0.000211117;0.000105581;0.002860088;0.007225789;0.035685515;0.007183575;0.017863887;0.009628807
408;0.2280528;2.28E-05;0.000843931;4.46E-08;0.133673584;0.000208317;0.000104181;0.002835968;0.00784978;0.03881135;0.007808126;0.019426525;0.010409761
409;0.2400732;2.40E-05;0.000843172;4.41E-08;0.132588336;0.00020556;0.000102802;0.002812112;0.008257213;0.040854303;0.008216109;0.020447725;0.010919992
410;0.2520936;2.52E-05;0.000842414;4.36E-08;0.131514517;0.000202844;0.000101444;0.002788517;0.008664664;0.042897263;0.008624104;0.021468933;0.011430223
411;0.2611008;2.61E-05;0.000841655;4.30E-08;0.130451978;0.000200169;0.000100106;0.00276518;0.008969683;0.044427979;0.008929658;0.022234023;0.011812391
412;0.270108;2.70E-05;0.000840897;4.24E-08;0.129400575;0.000197534;9.88E-05;0.002742096;0.009274721;0.045958702;0.009235222;0.022999122;0.012194559
413;0.2766096;2.77E-05;0.000840138;4.18E-08;0.128360164;0.000194938;9.75E-05;0.002719263;0.009494585;0.047063474;0.009455605;0.023551248;0.012470237
414;0.2831112;2.83E-05;0.000839379;4.11E-08;0.127330604;0.000192381;9.62E-05;0.002696678;0.009714467;0.048168254;0.009675999;0.024103382;0.012745915
415;0.2824632;2.82E-05;0.000838621;4.05E-08;0.126311756;0.000189863;9.50E-05;0.002674336;0.009691275;0.048057588;0.009653311;0.024047797;0.012717729
416;0.2818152;2.82E-05;0.000837862;4.00E-08;0.125303483;0.000187382;9.37E-05;0.002652236;0.009668102;0.04794693;0.009630633;0.023992219;0.012689544
417;0.280098;2.80E-05;0.000837103;3.94E-08;0.124305651;0.000184939;9.25E-05;0.002630373;0.009608592;0.047654512;0.009571612;0.023845765;0.012615917
418;0.2783808;2.78E-05;0.000836345;3.88E-08;0.123318126;0.000182532;9.13E-05;0.002608745;0.009549098;0.047362101;0.0095126;0.023699319;0.01254229
